,Year,Week,Day,Date,Time,Winner/tie,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL,HomeTeam,AwayTeam
5837,1993,13,Mon,November 29,9:00PM,San Diego Chargers,Indianapolis Colts,31,0,474,0,262,3,Indianapolis Colts,San Diego Chargers
5839,1993,14,Sun,December 5,1:00PM,Houston Oilers,Atlanta Falcons,33,17,388,3,333,7,Houston Oilers,Atlanta Falcons
5840,1993,14,Sun,December 5,1:00PM,Pittsburgh Steelers,New England Patriots,17,14,217,0,349,6,Pittsburgh Steelers,New England Patriots
5841,1993,14,Sun,December 5,1:00PM,Indianapolis Colts,New York Jets,9,6,169,1,267,3,New York Jets,Indianapolis Colts
5842,1993,14,Sun,December 5,1:00PM,Minnesota Vikings,Detroit Lions,13,0,234,1,219,5,Detroit Lions,Minnesota Vikings
5843,1993,14,Sun,December 5,1:00PM,Cleveland Browns,New Orleans Saints,17,13,314,4,127,0,Cleveland Browns,New Orleans Saints
5844,1993,14,Sun,December 5,1:00PM,Los Angeles Raiders,Buffalo Bills,25,24,399,0,367,2,Buffalo Bills,Los Angeles Raiders
5845,1993,14,Sun,December 5,1:00PM,Chicago Bears,Green Bay Packers,30,17,210,2,466,5,Chicago Bears,Green Bay Packers
5846,1993,14,Sun,December 5,1:00PM,Washington Redskins,Tampa Bay Buccaneers,23,17,238,1,307,3,Tampa Bay Buccaneers,Washington Redskins
5847,1993,14,Sun,December 5,4:00PM,Kansas City Chiefs,Seattle Seahawks,31,16,337,0,365,4,Seattle Seahawks,Kansas City Chiefs
5848,1993,14,Sun,December 5,4:00PM,New York Giants,Miami Dolphins,19,14,351,0,408,3,Miami Dolphins,New York Giants
5849,1993,14,Sun,December 5,4:00PM,Phoenix Cardinals,Los Angeles Rams,38,10,382,0,303,2,Phoenix Cardinals,Los Angeles Rams
5850,1993,14,Sun,December 5,4:00PM,San Diego Chargers,Denver Broncos,13,10,298,0,224,2,San Diego Chargers,Denver Broncos
5851,1993,14,Sun,December 5,8:00PM,San Francisco 49ers,Cincinnati Bengals,21,8,284,2,339,1,San Francisco 49ers,Cincinnati Bengals
5852,1993,14,Mon,December 6,9:00PM,Dallas Cowboys,Philadelphia Eagles,23,17,347,1,307,1,Dallas Cowboys,Philadelphia Eagles
5854,1993,15,Sat,December 11,12:30PM,New York Jets,Washington Redskins,3,0,308,1,150,1,Washington Redskins,New York Jets
5855,1993,15,Sat,December 11,4:00PM,Atlanta Falcons,San Francisco 49ers,27,24,362,1,330,4,Atlanta Falcons,San Francisco 49ers
5856,1993,15,Sun,December 12,1:00PM,Buffalo Bills,Philadelphia Eagles,10,7,335,4,368,4,Philadelphia Eagles,Buffalo Bills
5857,1993,15,Sun,December 12,1:00PM,Los Angeles Rams,New Orleans Saints,23,20,306,1,364,3,New Orleans Saints,Los Angeles Rams
5858,1993,15,Sun,December 12,1:00PM,Tampa Bay Buccaneers,Chicago Bears,13,10,215,1,286,2,Tampa Bay Buccaneers,Chicago Bears
5859,1993,15,Sun,December 12,1:00PM,New England Patriots,Cincinnati Bengals,7,2,224,0,165,1,New England Patriots,Cincinnati Bengals
5860,1993,15,Sun,December 12,1:00PM,New York Giants,Indianapolis Colts,20,6,290,0,305,0,New York Giants,Indianapolis Colts
5861,1993,15,Sun,December 12,1:00PM,Houston Oilers,Cleveland Browns,19,17,257,1,410,3,Houston Oilers,Cleveland Browns
5862,1993,15,Sun,December 12,4:00PM,Denver Broncos,Kansas City Chiefs,27,21,340,2,311,1,Denver Broncos,Kansas City Chiefs
5863,1993,15,Sun,December 12,4:00PM,Los Angeles Raiders,Seattle Seahawks,27,23,362,2,303,1,Los Angeles Raiders,Seattle Seahawks
5864,1993,15,Sun,December 12,4:00PM,Dallas Cowboys,Minnesota Vikings,37,20,356,0,270,1,Minnesota Vikings,Dallas Cowboys
5865,1993,15,Sun,December 12,4:00PM,Detroit Lions,Phoenix Cardinals,21,14,340,2,287,3,Phoenix Cardinals,Detroit Lions
5866,1993,15,Sun,December 12,8:00PM,Green Bay Packers,San Diego Chargers,20,13,227,1,282,3,San Diego Chargers,Green Bay Packers
5867,1993,15,Mon,December 13,9:00PM,Pittsburgh Steelers,Miami Dolphins,21,20,265,0,348,3,Miami Dolphins,Pittsburgh Steelers
5869,1993,16,Sat,December 18,12:30PM,Denver Broncos,Chicago Bears,13,3,234,1,185,5,Chicago Bears,Denver Broncos
5870,1993,16,Sat,December 18,4:00PM,Dallas Cowboys,New York Jets,28,7,364,5,295,4,New York Jets,Dallas Cowboys
5871,1993,16,Sun,December 19,1:00PM,Houston Oilers,Pittsburgh Steelers,26,17,383,2,385,3,Pittsburgh Steelers,Houston Oilers
5872,1993,16,Sun,December 19,1:00PM,New England Patriots,Cleveland Browns,20,17,323,1,377,3,Cleveland Browns,New England Patriots
5873,1993,16,Sun,December 19,1:00PM,Buffalo Bills,Miami Dolphins,47,34,374,2,423,5,Miami Dolphins,Buffalo Bills
5874,1993,16,Sun,December 19,1:00PM,Washington Redskins,Atlanta Falcons,30,17,167,2,378,6,Washington Redskins,Atlanta Falcons
5875,1993,16,Sun,December 19,1:00PM,Cincinnati Bengals,Los Angeles Rams,15,3,393,0,273,2,Cincinnati Bengals,Los Angeles Rams
5876,1993,16,Sun,December 19,1:00PM,Minnesota Vikings,Green Bay Packers,21,17,361,0,320,2,Green Bay Packers,Minnesota Vikings
5877,1993,16,Sun,December 19,4:00PM,Phoenix Cardinals,Seattle Seahawks,30,27,476,4,365,1,Seattle Seahawks,Phoenix Cardinals
5878,1993,16,Sun,December 19,4:00PM,Kansas City Chiefs,San Diego Chargers,28,24,321,3,268,3,Kansas City Chiefs,San Diego Chargers
5879,1993,16,Sun,December 19,4:00PM,Los Angeles Raiders,Tampa Bay Buccaneers,27,20,265,0,366,2,Los Angeles Raiders,Tampa Bay Buccaneers
5880,1993,16,Sun,December 19,4:00PM,San Francisco 49ers,Detroit Lions,55,17,565,0,288,3,Detroit Lions,San Francisco 49ers
5881,1993,16,Sun,December 19,8:00PM,Philadelphia Eagles,Indianapolis Colts,20,10,340,1,261,3,Indianapolis Colts,Philadelphia Eagles
5882,1993,16,Mon,December 20,9:00PM,New York Giants,New Orleans Saints,24,14,277,1,304,2,New Orleans Saints,New York Giants
5884,1993,17,Sat,December 25,5:30PM,Houston Oilers,San Francisco 49ers,10,7,311,3,337,3,San Francisco 49ers,Houston Oilers
5885,1993,17,Sun,December 26,1:00PM,Cincinnati Bengals,Atlanta Falcons,21,17,284,0,376,1,Cincinnati Bengals,Atlanta Falcons
5886,1993,17,Sun,December 26,1:00PM,New England Patriots,Indianapolis Colts,38,0,400,0,136,1,New England Patriots,Indianapolis Colts
5887,1993,17,Sun,December 26,1:00PM,Green Bay Packers,Los Angeles Raiders,28,0,329,1,182,4,Green Bay Packers,Los Angeles Raiders
5888,1993,17,Sun,December 26,1:00PM,Buffalo Bills,New York Jets,16,14,346,3,352,1,Buffalo Bills,New York Jets
5889,1993,17,Sun,December 26,1:00PM,Philadelphia Eagles,New Orleans Saints,37,26,314,1,158,3,Philadelphia Eagles,New Orleans Saints
5890,1993,17,Sun,December 26,1:00PM,Detroit Lions,Chicago Bears,20,14,307,1,180,1,Chicago Bears,Detroit Lions
5891,1993,17,Sun,December 26,4:00PM,Dallas Cowboys,Washington Redskins,38,3,380,1,198,2,Dallas Cowboys,Washington Redskins
5892,1993,17,Sun,December 26,4:00PM,Seattle Seahawks,Pittsburgh Steelers,16,6,368,1,380,2,Seattle Seahawks,Pittsburgh Steelers
5893,1993,17,Sun,December 26,4:00PM,Phoenix Cardinals,New York Giants,17,6,333,2,293,1,Phoenix Cardinals,New York Giants
5894,1993,17,Sun,December 26,4:00PM,Tampa Bay Buccaneers,Denver Broncos,17,10,236,1,335,3,Denver Broncos,Tampa Bay Buccaneers
5895,1993,17,Sun,December 26,4:00PM,Cleveland Browns,Los Angeles Rams,42,14,315,0,382,3,Los Angeles Rams,Cleveland Browns
5896,1993,17,Sun,December 26,8:00PM,Minnesota Vikings,Kansas City Chiefs,30,10,424,1,220,3,Minnesota Vikings,Kansas City Chiefs
5897,1993,17,Mon,December 27,9:00PM,San Diego Chargers,Miami Dolphins,45,20,459,0,321,3,San Diego Chargers,Miami Dolphins
5899,1993,18,Fri,December 31,3:00PM,Minnesota Vikings,Washington Redskins,14,9,272,1,265,1,Washington Redskins,Minnesota Vikings
5900,1993,18,Sun,January 2,1:00PM,New England Patriots,Miami Dolphins,33,27,397,2,349,0,New England Patriots,Miami Dolphins
5901,1993,18,Sun,January 2,1:00PM,Detroit Lions,Green Bay Packers,30,20,297,1,273,5,Detroit Lions,Green Bay Packers
5902,1993,18,Sun,January 2,1:00PM,Phoenix Cardinals,Atlanta Falcons,27,10,395,0,270,4,Atlanta Falcons,Phoenix Cardinals
5903,1993,18,Sun,January 2,1:00PM,Dallas Cowboys,New York Giants,16,13,339,1,313,1,New York Giants,Dallas Cowboys
5904,1993,18,Sun,January 2,1:00PM,Pittsburgh Steelers,Cleveland Browns,16,9,320,0,295,2,Pittsburgh Steelers,Cleveland Browns
5905,1993,18,Sun,January 2,1:00PM,Buffalo Bills,Indianapolis Colts,30,10,297,1,402,4,Indianapolis Colts,Buffalo Bills
5906,1993,18,Sun,January 2,1:00PM,Kansas City Chiefs,Seattle Seahawks,34,24,372,2,280,3,Kansas City Chiefs,Seattle Seahawks
5907,1993,18,Sun,January 2,4:00PM,New Orleans Saints,Cincinnati Bengals,20,13,269,1,188,1,New Orleans Saints,Cincinnati Bengals
5908,1993,18,Sun,January 2,4:00PM,San Diego Chargers,Tampa Bay Buccaneers,32,17,364,0,384,3,Tampa Bay Buccaneers,San Diego Chargers
5909,1993,18,Sun,January 2,4:00PM,Los Angeles Raiders,Denver Broncos,33,30,398,1,471,0,Los Angeles Raiders,Denver Broncos
5910,1993,18,Sun,January 2,4:00PM,Los Angeles Rams,Chicago Bears,20,6,394,0,163,1,Los Angeles Rams,Chicago Bears
5911,1993,18,Sun,January 2,8:00PM,Houston Oilers,New York Jets,24,0,363,2,164,2,Houston Oilers,New York Jets
5912,1993,18,Mon,January 3,9:00PM,Philadelphia Eagles,San Francisco 49ers,37,34,381,1,477,3,San Francisco 49ers,Philadelphia Eagles
5914,1993,WildCard,Sat,January 8,12:30PM,Kansas City Chiefs,Pittsburgh Steelers,27,24,401,0,369,0,Kansas City Chiefs,Pittsburgh Steelers
5915,1993,WildCard,Sat,January 8,4:00PM,Green Bay Packers,Detroit Lions,28,24,293,1,410,2,Detroit Lions,Green Bay Packers
5916,1993,WildCard,Sun,January 9,12:30PM,New York Giants,Minnesota Vikings,17,10,270,0,260,1,New York Giants,Minnesota Vikings
5917,1993,WildCard,Sun,January 9,4:00PM,Los Angeles Raiders,Denver Broncos,42,24,427,0,387,1,Los Angeles Raiders,Denver Broncos
5918,1993,Division,Sat,January 15,12:30PM,Buffalo Bills,Los Angeles Raiders,29,23,355,1,325,1,Buffalo Bills,Los Angeles Raiders
5919,1993,Division,Sat,January 15,4:00PM,San Francisco 49ers,New York Giants,44,3,413,1,194,3,San Francisco 49ers,New York Giants
5920,1993,Division,Sun,January 16,12:30PM,Dallas Cowboys,Green Bay Packers,27,17,381,3,358,4,Dallas Cowboys,Green Bay Packers
5921,1993,Division,Sun,January 16,4:00PM,Kansas City Chiefs,Houston Oilers,28,20,354,2,277,3,Houston Oilers,Kansas City Chiefs
5922,1993,ConfChamp,Sun,January 23,12:30PM,Buffalo Bills,Kansas City Chiefs,30,13,389,1,338,2,Buffalo Bills,Kansas City Chiefs
5923,1993,ConfChamp,Sun,January 23,4:00PM,Dallas Cowboys,San Francisco 49ers,38,21,377,0,359,1,Dallas Cowboys,San Francisco 49ers
5924,1993,SuperBowl,Sun,January 30,6:00PM,Dallas Cowboys,Buffalo Bills,30,13,341,1,314,3,Dallas Cowboys,Buffalo Bills
5925,1994,1,Sun,September 4,1:00PM,Detroit Lions,Atlanta Falcons,31,28,352,1,389,0,Detroit Lions,Atlanta Falcons
5926,1994,1,Sun,September 4,1:00PM,Chicago Bears,Tampa Bay Buccaneers,21,9,270,0,304,0,Chicago Bears,Tampa Bay Buccaneers
5927,1994,1,Sun,September 4,1:00PM,New York Giants,Philadelphia Eagles,28,23,290,2,395,1,New York Giants,Philadelphia Eagles
5928,1994,1,Sun,September 4,1:00PM,Green Bay Packers,Minnesota Vikings,16,10,264,1,194,3,Green Bay Packers,Minnesota Vikings
5929,1994,1,Sun,September 4,1:00PM,Seattle Seahawks,Washington Redskins,28,7,360,0,258,3,Washington Redskins,Seattle Seahawks
5930,1994,1,Sun,September 4,1:00PM,Kansas City Chiefs,New Orleans Saints,30,17,460,0,349,4,New Orleans Saints,Kansas City Chiefs
5931,1994,1,Sun,September 4,1:00PM,Indianapolis Colts,Houston Oilers,45,21,288,2,374,3,Indianapolis Colts,Houston Oilers
5932,1994,1,Sun,September 4,1:00PM,Cleveland Browns,Cincinnati Bengals,28,20,256,2,331,2,Cincinnati Bengals,Cleveland Browns
5933,1994,1,Sun,September 4,4:00PM,Miami Dolphins,New England Patriots,39,35,525,3,472,3,Miami Dolphins,New England Patriots
5934,1994,1,Sun,September 4,4:00PM,Los Angeles Rams,Arizona Cardinals,14,12,152,2,234,3,Los Angeles Rams,Arizona Cardinals
5935,1994,1,Sun,September 4,4:00PM,New York Jets,Buffalo Bills,23,3,330,1,209,3,Buffalo Bills,New York Jets
5936,1994,1,Sun,September 4,4:00PM,Dallas Cowboys,Pittsburgh Steelers,26,9,442,1,126,0,Pittsburgh Steelers,Dallas Cowboys
5937,1994,1,Sun,September 4,8:00PM,San Diego Chargers,Denver Broncos,37,34,370,1,470,3,Denver Broncos,San Diego Chargers
5938,1994,1,Mon,September 5,9:00PM,San Francisco 49ers,Los Angeles Raiders,44,14,448,1,181,2,San Francisco 49ers,Los Angeles Raiders
5940,1994,2,Sun,September 11,1:00PM,Kansas City Chiefs,San Francisco 49ers,24,17,292,0,381,4,Kansas City Chiefs,San Francisco 49ers
5941,1994,2,Sun,September 11,1:00PM,Tampa Bay Buccaneers,Indianapolis Colts,24,10,367,0,364,1,Tampa Bay Buccaneers,Indianapolis Colts
5942,1994,2,Sun,September 11,1:00PM,Atlanta Falcons,Los Angeles Rams,31,13,428,2,421,4,Atlanta Falcons,Los Angeles Rams
5943,1994,2,Sun,September 11,1:00PM,Pittsburgh Steelers,Cleveland Browns,17,10,315,0,278,5,Cleveland Browns,Pittsburgh Steelers
5944,1994,2,Sun,September 11,1:00PM,Miami Dolphins,Green Bay Packers,24,14,308,0,383,2,Green Bay Packers,Miami Dolphins
5945,1994,2,Sun,September 11,1:00PM,Buffalo Bills,New England Patriots,38,35,466,4,467,5,New England Patriots,Buffalo Bills
5946,1994,2,Sun,September 11,1:00PM,Minnesota Vikings,Detroit Lions,10,3,289,3,212,3,Minnesota Vikings,Detroit Lions
5947,1994,2,Sun,September 11,4:00PM,San Diego Chargers,Cincinnati Bengals,27,10,465,0,280,3,San Diego Chargers,Cincinnati Bengals
5948,1994,2,Sun,September 11,4:00PM,Washington Redskins,New Orleans Saints,38,24,343,1,408,3,New Orleans Saints,Washington Redskins
5949,1994,2,Sun,September 11,4:00PM,Seattle Seahawks,Los Angeles Raiders,38,9,332,1,297,4,Los Angeles Raiders,Seattle Seahawks
5950,1994,2,Sun,September 11,4:00PM,New York Jets,Denver Broncos,25,22,366,2,401,1,New York Jets,Denver Broncos
5951,1994,2,Sun,September 11,4:00PM,Dallas Cowboys,Houston Oilers,20,17,340,1,339,2,Dallas Cowboys,Houston Oilers
5952,1994,2,Sun,September 11,8:00PM,New York Giants,Arizona Cardinals,20,17,206,2,174,3,Arizona Cardinals,New York Giants
5953,1994,2,Mon,September 12,9:00PM,Philadelphia Eagles,Chicago Bears,30,22,416,0,312,1,Philadelphia Eagles,Chicago Bears
5955,1994,3,Sun,September 18,1:00PM,Buffalo Bills,Houston Oilers,15,7,298,1,256,3,Houston Oilers,Buffalo Bills
5956,1994,3,Sun,September 18,1:00PM,Pittsburgh Steelers,Indianapolis Colts,31,21,500,2,175,1,Pittsburgh Steelers,Indianapolis Colts
5957,1994,3,Sun,September 18,1:00PM,New England Patriots,Cincinnati Bengals,31,28,447,2,318,2,Cincinnati Bengals,New England Patriots
5958,1994,3,Sun,September 18,1:00PM,Miami Dolphins,New York Jets,28,14,444,2,343,4,Miami Dolphins,New York Jets
5959,1994,3,Sun,September 18,1:00PM,Minnesota Vikings,Chicago Bears,42,14,464,2,304,2,Chicago Bears,Minnesota Vikings
5960,1994,3,Sun,September 18,1:00PM,Cleveland Browns,Arizona Cardinals,32,0,322,2,318,3,Cleveland Browns,Arizona Cardinals
5961,1994,3,Sun,September 18,1:00PM,New Orleans Saints,Tampa Bay Buccaneers,9,7,233,0,232,1,Tampa Bay Buccaneers,New Orleans Saints
5962,1994,3,Sun,September 18,1:00PM,Philadelphia Eagles,Green Bay Packers,13,7,273,2,275,3,Philadelphia Eagles,Green Bay Packers
5963,1994,3,Sun,September 18,4:00PM,San Francisco 49ers,Los Angeles Rams,34,19,454,1,278,1,Los Angeles Rams,San Francisco 49ers
5964,1994,3,Sun,September 18,4:00PM,Los Angeles Raiders,Denver Broncos,48,16,424,1,292,3,Denver Broncos,Los Angeles Raiders
5965,1994,3,Sun,September 18,4:00PM,New York Giants,Washington Redskins,31,23,337,0,456,2,New York Giants,Washington Redskins
5966,1994,3,Sun,September 18,4:00PM,San Diego Chargers,Seattle Seahawks,24,10,346,2,187,2,Seattle Seahawks,San Diego Chargers
5967,1994,3,Sun,September 18,8:00PM,Kansas City Chiefs,Atlanta Falcons,30,10,427,4,384,6,Atlanta Falcons,Kansas City Chiefs
5968,1994,3,Mon,September 19,9:00PM,Detroit Lions,Dallas Cowboys,20,17,379,0,368,3,Dallas Cowboys,Detroit Lions
5970,1994,4,Sun,September 25,1:00PM,Green Bay Packers,Tampa Bay Buccaneers,30,3,401,0,231,3,Green Bay Packers,Tampa Bay Buccaneers
5971,1994,4,Sun,September 25,1:00PM,Los Angeles Rams,Kansas City Chiefs,16,0,357,0,242,3,Kansas City Chiefs,Los Angeles Rams
5972,1994,4,Sun,September 25,1:00PM,Minnesota Vikings,Miami Dolphins,38,35,458,0,473,4,Minnesota Vikings,Miami Dolphins
5973,1994,4,Sun,September 25,1:00PM,Atlanta Falcons,Washington Redskins,27,20,309,1,354,5,Washington Redskins,Atlanta Falcons
5974,1994,4,Sun,September 25,1:00PM,Cleveland Browns,Indianapolis Colts,21,14,376,1,335,1,Indianapolis Colts,Cleveland Browns
5975,1994,4,Sun,September 25,4:00PM,San Francisco 49ers,New Orleans Saints,24,13,298,2,340,2,San Francisco 49ers,New Orleans Saints
5976,1994,4,Sun,September 25,4:00PM,New England Patriots,Detroit Lions,23,17,353,0,342,2,Detroit Lions,New England Patriots
5977,1994,4,Sun,September 25,4:00PM,Houston Oilers,Cincinnati Bengals,20,13,341,4,176,4,Houston Oilers,Cincinnati Bengals
5978,1994,4,Sun,September 25,4:00PM,San Diego Chargers,Los Angeles Raiders,26,24,263,2,279,1,Los Angeles Raiders,San Diego Chargers
5979,1994,4,Sun,September 25,6:00PM,Seattle Seahawks,Pittsburgh Steelers,30,13,297,1,452,4,Seattle Seahawks,Pittsburgh Steelers
5980,1994,4,Sun,September 25,8:00PM,Chicago Bears,New York Jets,19,7,226,0,325,3,New York Jets,Chicago Bears
5981,1994,4,Mon,September 26,9:00PM,Buffalo Bills,Denver Broncos,27,20,315,1,337,2,Buffalo Bills,Denver Broncos
5983,1994,5,Sun,October 2,1:00PM,Dallas Cowboys,Washington Redskins,34,7,323,1,110,4,Washington Redskins,Dallas Cowboys
5984,1994,5,Sun,October 2,1:00PM,Cleveland Browns,New York Jets,27,7,363,0,346,3,Cleveland Browns,New York Jets
5985,1994,5,Sun,October 2,1:00PM,New England Patriots,Green Bay Packers,17,16,360,2,364,2,New England Patriots,Green Bay Packers
5986,1994,5,Sun,October 2,1:00PM,Tampa Bay Buccaneers,Detroit Lions,24,14,234,0,321,1,Tampa Bay Buccaneers,Detroit Lions
5987,1994,5,Sun,October 2,1:00PM,Indianapolis Colts,Seattle Seahawks,17,15,287,1,276,1,Indianapolis Colts,Seattle Seahawks
5988,1994,5,Sun,October 2,4:00PM,Philadelphia Eagles,San Francisco 49ers,40,8,437,0,189,3,San Francisco 49ers,Philadelphia Eagles
5989,1994,5,Sun,October 2,4:00PM,Arizona Cardinals,Minnesota Vikings,17,7,309,2,358,4,Arizona Cardinals,Minnesota Vikings
5990,1994,5,Sun,October 2,4:00PM,Atlanta Falcons,Los Angeles Rams,8,5,366,1,246,2,Los Angeles Rams,Atlanta Falcons
5991,1994,5,Sun,October 2,4:00PM,New Orleans Saints,New York Giants,27,22,314,3,202,2,New Orleans Saints,New York Giants
5992,1994,5,Sun,October 2,4:00PM,Chicago Bears,Buffalo Bills,20,13,261,1,204,3,Chicago Bears,Buffalo Bills
5993,1994,5,Sun,October 2,8:00PM,Miami Dolphins,Cincinnati Bengals,23,7,345,0,246,5,Cincinnati Bengals,Miami Dolphins
5994,1994,5,Mon,October 3,9:00PM,Pittsburgh Steelers,Houston Oilers,30,14,379,0,290,2,Pittsburgh Steelers,Houston Oilers
5996,1994,6,Sun,October 9,1:00PM,New York Jets,Indianapolis Colts,16,6,250,1,231,4,New York Jets,Indianapolis Colts
5997,1994,6,Sun,October 9,1:00PM,Buffalo Bills,Miami Dolphins,21,11,344,2,326,1,Buffalo Bills,Miami Dolphins
5998,1994,6,Sun,October 9,1:00PM,Chicago Bears,New Orleans Saints,17,7,305,1,316,2,Chicago Bears,New Orleans Saints
5999,1994,6,Sun,October 9,1:00PM,Atlanta Falcons,Tampa Bay Buccaneers,34,13,356,3,320,3,Atlanta Falcons,Tampa Bay Buccaneers
6000,1994,6,Sun,October 9,1:00PM,Green Bay Packers,Los Angeles Rams,24,17,292,2,211,2,Green Bay Packers,Los Angeles Rams
6001,1994,6,Sun,October 9,1:00PM,San Francisco 49ers,Detroit Lions,27,21,233,0,340,2,Detroit Lions,San Francisco 49ers
6002,1994,6,Sun,October 9,4:00PM,Dallas Cowboys,Arizona Cardinals,38,3,351,0,221,5,Dallas Cowboys,Arizona Cardinals
6003,1994,6,Sun,October 9,4:00PM,Denver Broncos,Seattle Seahawks,16,9,278,0,338,5,Seattle Seahawks,Denver Broncos
6004,1994,6,Sun,October 9,4:00PM,San Diego Chargers,Kansas City Chiefs,20,6,322,1,361,2,San Diego Chargers,Kansas City Chiefs
6005,1994,6,Sun,October 9,4:00PM,Los Angeles Raiders,New England Patriots,21,17,328,4,359,4,New England Patriots,Los Angeles Raiders
6006,1994,6,Sun,October 9,8:00PM,Philadelphia Eagles,Washington Redskins,21,17,431,2,226,2,Philadelphia Eagles,Washington Redskins
6007,1994,6,Mon,October 10,9:00PM,Minnesota Vikings,New York Giants,27,10,395,2,240,3,New York Giants,Minnesota Vikings
6009,1994,7,Thu,October 13,8:00PM,Cleveland Browns,Houston Oilers,11,8,260,2,305,2,Houston Oilers,Cleveland Browns
6010,1994,7,Sun,October 16,1:00PM,Pittsburgh Steelers,Cincinnati Bengals,14,10,243,1,241,2,Pittsburgh Steelers,Cincinnati Bengals
6011,1994,7,Sun,October 16,1:00PM,Arizona Cardinals,Washington Redskins,19,16,324,3,234,5,Washington Redskins,Arizona Cardinals
6012,1994,7,Sun,October 16,1:00PM,Miami Dolphins,Los Angeles Raiders,20,17,344,3,210,1,Miami Dolphins,Los Angeles Raiders
6013,1994,7,Sun,October 16,1:00PM,New York Jets,New England Patriots,24,17,242,2,324,4,New York Jets,New England Patriots
6014,1994,7,Sun,October 16,1:00PM,Indianapolis Colts,Buffalo Bills,27,17,325,0,329,2,Buffalo Bills,Indianapolis Colts
6015,1994,7,Sun,October 16,1:00PM,San Francisco 49ers,Atlanta Falcons,42,3,281,0,254,6,Atlanta Falcons,San Francisco 49ers
6016,1994,7,Sun,October 16,4:00PM,Los Angeles Rams,New York Giants,17,10,274,1,282,2,Los Angeles Rams,New York Giants
6017,1994,7,Sun,October 16,4:00PM,Dallas Cowboys,Philadelphia Eagles,24,13,266,1,294,5,Dallas Cowboys,Philadelphia Eagles
6018,1994,7,Sun,October 16,4:00PM,San Diego Chargers,New Orleans Saints,36,22,378,0,284,2,New Orleans Saints,San Diego Chargers
6019,1994,7,Mon,October 17,9:00PM,Kansas City Chiefs,Denver Broncos,31,28,483,2,330,3,Denver Broncos,Kansas City Chiefs
6021,1994,8,Thu,October 20,8:00PM,Minnesota Vikings,Green Bay Packers,13,10,252,2,158,2,Minnesota Vikings,Green Bay Packers
6022,1994,8,Sun,October 23,1:00PM,Kansas City Chiefs,Seattle Seahawks,38,23,477,0,263,2,Kansas City Chiefs,Seattle Seahawks
6023,1994,8,Sun,October 23,1:00PM,Detroit Lions,Chicago Bears,21,16,232,3,402,4,Detroit Lions,Chicago Bears
6024,1994,8,Sun,October 23,1:00PM,Cleveland Browns,Cincinnati Bengals,37,13,240,1,221,1,Cleveland Browns,Cincinnati Bengals
6025,1994,8,Sun,October 23,1:00PM,Pittsburgh Steelers,New York Giants,10,6,296,4,215,3,New York Giants,Pittsburgh Steelers
6026,1994,8,Sun,October 23,1:00PM,Washington Redskins,Indianapolis Colts,41,27,326,0,381,3,Indianapolis Colts,Washington Redskins
6027,1994,8,Sun,October 23,1:00PM,New Orleans Saints,Los Angeles Rams,37,34,314,1,242,3,New Orleans Saints,Los Angeles Rams
6028,1994,8,Sun,October 23,4:00PM,Denver Broncos,San Diego Chargers,20,15,294,3,321,3,San Diego Chargers,Denver Broncos
6029,1994,8,Sun,October 23,4:00PM,Dallas Cowboys,Arizona Cardinals,28,21,312,0,315,0,Arizona Cardinals,Dallas Cowboys
6030,1994,8,Sun,October 23,4:00PM,Los Angeles Raiders,Atlanta Falcons,30,17,313,1,255,2,Los Angeles Raiders,Atlanta Falcons
6031,1994,8,Sun,October 23,4:00PM,San Francisco 49ers,Tampa Bay Buccaneers,41,16,451,1,235,1,San Francisco 49ers,Tampa Bay Buccaneers
6032,1994,8,Mon,October 24,9:00PM,Philadelphia Eagles,Houston Oilers,21,6,372,2,282,4,Philadelphia Eagles,Houston Oilers
6034,1994,9,Sun,October 30,1:00PM,Detroit Lions,New York Giants,28,25,329,3,344,1,New York Giants,Detroit Lions
6035,1994,9,Sun,October 30,1:00PM,Buffalo Bills,Kansas City Chiefs,44,10,357,0,266,5,Buffalo Bills,Kansas City Chiefs
6036,1994,9,Sun,October 30,1:00PM,Philadelphia Eagles,Washington Redskins,31,29,296,0,349,3,Washington Redskins,Philadelphia Eagles
6037,1994,9,Sun,October 30,1:00PM,Dallas Cowboys,Cincinnati Bengals,23,20,368,2,320,1,Cincinnati Bengals,Dallas Cowboys
6038,1994,9,Sun,October 30,4:00PM,Los Angeles Raiders,Houston Oilers,17,14,278,4,302,3,Los Angeles Raiders,Houston Oilers
6039,1994,9,Sun,October 30,4:00PM,Miami Dolphins,New England Patriots,23,3,338,2,188,3,New England Patriots,Miami Dolphins
6040,1994,9,Sun,October 30,4:00PM,San Diego Chargers,Seattle Seahawks,35,15,348,1,283,2,San Diego Chargers,Seattle Seahawks
6041,1994,9,Sun,October 30,4:00PM,Minnesota Vikings,Tampa Bay Buccaneers,36,13,361,2,234,5,Tampa Bay Buccaneers,Minnesota Vikings
6042,1994,9,Sun,October 30,4:00PM,Denver Broncos,Cleveland Browns,26,14,457,2,317,1,Denver Broncos,Cleveland Browns
6043,1994,9,Sun,October 30,4:00PM,Indianapolis Colts,New York Jets,28,25,330,5,256,1,Indianapolis Colts,New York Jets
